Time [s],Mold Average Temperature [deg C],Mold Maximum Temperature [deg C],Cycle Temperature [deg C]
0.0,20.0,20.0,20.0
50.0,19.950329157164685,20.88433790939834,22.5
100.0,20.743129360953578,23.370722606616514,25.0
150.0,21.88497855349024,25.84406433543051,27.5
200.0,23.299596610577456,28.318458133519723,30.0
250.0,24.92598550593815,30.795147283698856,32.5
300.0,26.71763918456125,33.27381486570996,35.0
350.0,28.639274100997145,35.75407769015951,37.5
400.0,30.663880229193648,38.23564310466142,40.0
450.0,32.77055321375229,40.71829464603569,42.5
500.0,34.94295804174011,43.20186804414546,45.0
550.0,37.16823146426168,45.68623469011445,47.5
600.0,39.43618241794369,48.171291189585936,50.0
650.0,41.73869778069748,50.65695266413251,52.5
700.0,44.06929313190597,53.143148290666176,55.0
750.0,46.42276849214522,55.62981820584348,57.5
800.0,48.794941726502714,58.11691127363316,60.0
850.0,51.18244041911097,60.60438342118815,62.5
900.0,53.582538377668776,63.09219636421764,65.0
950.0,55.99302656578402,65.5803166094318,67.5
1000.0,58.4121108106521,68.06871466059057,70.0
1050.0,60.83833046695586,70.55736437826496,72.5
1100.0,63.27049356482049,73.04624245818113,75.0
1150.0,65.70762497644235,75.53532800260629,77.5
1200.0,68.14892489881754,78.02460216569665,80.0
1250.0,70.59373553409847,80.51404785824117,82.5
1300.0,73.04151430008037,83.00364950048186,85.0
1350.0,75.4918122537858,85.49339281410089,87.5
1400.0,77.94425668489195,87.9832646462812,90.0
1450.0,80.39853705052604,90.47325282015056,92.5
1500.0,82.85439359204375,92.96334600701078,95.0
1550.0,85.3116081079276,95.45353361661716,97.5
1600.0,87.76999646264952,97.94380570245805,100.0
1650.0,90.22940249522482,100.43415287953327,102.5
1700.0,92.68969305788546,102.92456625257108,105.0
1750.0,95.15075396844023,105.41503735297987,107.5
1800.0,97.6124867022979,107.90555808312033,110.0
1850.0,100.0748056840316,110.39612066671695,112.5
1900.0,102.53763606550353,112.88671760442094,115.0
1950.0,105.0009118993301,115.37734163369016,117.5
2000.0,107.46457463393888,117.86798569228193,120.0
2050.0,109.92857187051484,120.35864288475635,122.5
2100.0,112.39285633343766,122.84930645147335,125.0
2150.0,114.85738501492366,125.33996973963748,127.5
2200.0,117.32211846193572,127.83062617599808,130.0
2250.0,119.7870201793605,130.32126924086072,132.5
2300.0,122.2520561282521,132.8118924431004,135.0
2350.0,124.71719430182203,135.30248929589536,137.5
2400.0,127.18240436500159,137.79305329292427,140.0
2450.0,129.64765734594832,140.2835778847836,142.5
2500.0,132.11292536993295,142.77405645539494,145.0
2550.0,134.5781814277165,145.26448229817595,147.5
2600.0,137.04339917188352,147.7548485917533,150.0
2650.0,139.50855273569448,150.24514837499208,152.5
2700.0,141.97361656990665,152.73537452110966,155.0
2750.0,144.43856529372928,155.22551971063405,157.5
2800.0,146.9033735566499,157.71557640294705,160.0
2850.0,149.3680159083257,160.20553680613992,162.5
2900.0,151.83246667409205,162.69539284487715,165.0
2950.0,154.29669983391756,165.18513612594046,167.5
3000.0,156.76068890284282,167.67475790108526,170.0
3050.0,159.22440681108625,170.16424902679643,172.5
3100.0,161.68782578209593,172.65359992048155,175.0
3150.0,164.15091720687218,175.1428005125752,177.5
3200.0,166.61365151288717,177.63184019395337,180.0
3250.0,168.93446328228248,179.22813061856183,180.0
3300.0,170.85111783447,179.72679794550564,180.0
3350.0,172.4086036535692,179.88470995094787,180.0
3400.0,173.68267304037636,179.93870686679887,180.0
3450.0,174.73251395238336,179.95998451224133,180.0
3500.0,175.60219338534193,179.9703078601762,180.0
3550.0,176.32518749568112,179.97652032726495,180.0
3600.0,176.92763157462232,179.98088870620154,180.0
3650.0,177.4303851488544,179.98423815127438,180.0
3700.0,177.85035987851035,179.98691765422453,180.0
3750.0,178.20141336780708,179.98910548934944,180.0
3800.0,178.49498174223066,179.99091039979788,180.0
3850.0,178.74054753920697,179.9924077513425,180.0
3900.0,178.9459981817851,179.99365398339728,180.0
3950.0,179.11790800306375,179.99469326483742,180.0
4000.0,179.2617644373035,179.99556104612208,180.0
4050.0,179.23822091551057,179.57819396090545,177.5
4100.0,178.78353199877753,179.0946211261769,175.0
4150.0,177.9449111142995,178.50793222386477,172.5
4200.0,176.80113882934307,177.7829379253398,170.0
4250.0,175.4142818544569,176.86214193887682,167.5
4300.0,173.83098840071074,175.70984434533165,165.0
4350.0,172.08702932364682,174.34944589720604,162.5
4400.0,170.21057460643257,172.80593743213842,160.0
4450.0,168.22428006420452,171.10386262552606,157.5
4500.0,166.14663368302945,169.26602841297566,155.0
4550.0,163.9928671520064,167.3128759095533,152.5
4600.0,161.77560628062713,165.26230186435671,150.0
4650.0,159.50535678320819,163.1297381896419,147.5
4700.0,157.1908803408694,160.92835839927594,145.0
4750.0,154.83949353381402,158.6693327497138,142.5
4800.0,152.45730996362104,156.36208944201192,140.0
4850.0,150.04943890471722,154.01456065054387,137.5
4900.0,147.6201496992752,151.63340422652433,135.0
4950.0,145.17300856767423,149.22419840453747,132.5
5000.0,142.710992866662,146.79161011987583,130.0
5050.0,140.23658671723186,144.3395390575822,127.5
5100.0,137.75186113625213,141.87124012216066,125.0
5150.0,135.2585412217609,139.38942709882033,122.5
5200.0,132.75806249266063,136.89636012403085,120.0
5250.0,130.25161812801574,134.39391932993206,117.5
5300.0,127.74019856366246,131.8836667440997,115.0
5350.0,125.22462466782139,129.36689824852223,112.5
5400.0,122.70557552163537,126.8446871455599,110.0
5450.0,120.18361166707439,124.31792065030102,107.5
5500.0,117.65919454753588,121.78733042910567,105.0
5550.0,115.13270275116317,119.25351813176127,102.5
5600.0,112.60444556978408,116.71697671700325,100.0
5650.0,110.07467430449366,114.17810824530147,97.5
5700.0,107.5435916798433,111.63723870590384,95.0
5750.0,105.01135967032948,109.09463035453551,92.5
5800.0,102.47810599370005,106.55049196148143,90.0
5850.0,99.94392948408026,104.00498730495211,87.5
5900.0,97.4089045228492,101.45824218983893,85.0
5950.0,94.87308467553731,98.9103502256214,82.5
6000.0,92.33650565788659,96.36137755796801,80.0
6050.0,89.79918773286215,93.81136671530078,77.5
6100.0,87.26113762217547,91.26033970326931,75.0
6150.0,84.72235000021081,88.70830045584843,72.5
6200.0,82.18280862463308,86.15523673085158,70.0
6250.0,79.6424871459448,83.60112151937503,67.5
6300.0,77.10134962742974,81.04591402241621,65.0
6350.0,74.55935079685428,78.4895602330581,62.5
6400.0,72.01643604156767,75.9319931485711,60.0
6450.0,69.47254114878133,73.37313262292551,57.5
6500.0,66.92759178225641,70.81288485580087,55.0
6550.0,64.38150267470063,68.251141498342,52.5
