time [min],Average Temperature [C]
0.0,20.0
0.25,20.01000754242932
0.5,20.058330463023083
0.7500000000000001,20.162042677216164
1.0,20.3227316040269
1.25,20.481793395747502
1.5000000000000002,20.612631253028837
1.7500000000000002,20.70829398889566
2.0,20.762365430600937
2.25,20.75480048577822
2.5,20.734439589892986
2.75,20.781589301593044
3.0000000000000004,20.887622958105226
3.25,20.964781048801456
3.5000000000000004,21.015868982220525
3.75,21.103838537834406
4.0,21.230274140699464
4.250000000000001,21.366626388004875
4.5,21.459404127522305
4.75,21.48455711323311
5.0,21.46836458866113
5.25,21.45481574413799
5.5,21.47321331502235
5.750000000000001,21.509486434095493
6.000000000000001,21.573442047530932
6.25,21.68173853894251
6.5,21.841408011282056
6.75,22.068987025324873
7.000000000000001,22.50202184922142
7.250000000000001,23.154825983269916
7.5,23.821551835304888
7.75,24.59085736798994
8.0,25.594403445310263
8.250000000000002,26.66454580572355
8.500000000000002,27.685181620749802
8.75,28.729516530392857
9.0,29.79761990742736
9.25,30.8363129533588
9.5,31.825609011248673
9.75,32.77643003157692
10.0,33.71430122909277
10.250000000000002,34.623152739115824
10.5,35.46102343483193
10.75,36.22533646879555
11.0,36.92618636856548
11.25,37.611249222113315
11.500000000000002,38.31374909936437
11.75,39.04142020047141
12.000000000000002,39.77293649778477
12.25,40.49725782602212
12.5,41.17667308878441
12.750000000000002,41.98650094822307
13.0,42.76317883055697
13.250000000000002,43.53096402855533
13.5,44.29354755043374
13.75,45.234733087185816
14.000000000000002,46.26624342030499
14.25,47.21363482720102
14.500000000000002,48.078717104657755
14.75,48.912779881366134
15.0,49.680589775110036
15.250000000000002,50.31686769819146
15.5,50.84017748280098
15.750000000000002,51.33064046182341
16.0,51.81906712593377
16.25,52.29433325544136
16.500000000000004,52.78493056582545
16.75,53.34334767536973
17.000000000000004,53.96221493356154
17.25,54.62020920007052
17.5,55.307398651155665
17.75,56.02315284364505
18.0,56.75697802868268
18.25,57.49847846964553
18.5,58.24522073465539
18.75,58.99235671919877
19.0,59.741995488942564
19.25,60.49553233242068
19.5,61.2581887913812
19.75,62.03142370738135
20.0,62.80946594517644
20.25,63.57410601862426
20.500000000000004,64.3210444007558
20.75,65.07407462835272
21.0,65.8654687270797
21.25,66.59590264159601
21.5,67.23488782873119
21.750000000000004,67.81426594772705
22.0,68.35257362248939
22.25,68.76687838432798
22.5,69.11389244471735
22.75,69.48421328178654
23.000000000000004,69.8745560310764
23.25,70.19928136710564
23.5,70.47763813879948
23.75,70.79763516934338
24.000000000000004,71.16860289212923
24.250000000000004,71.52745472605557
24.5,71.83119269923753
24.75,72.07116988103996
25.0,72.27979587883215
25.250000000000004,72.50023605912986
25.500000000000004,72.76241333407046
25.75,73.06857363800782
26.0,73.39224967000501
26.25,73.68778441154882
26.500000000000004,73.93581089148859
26.750000000000004,74.17389571924389
27.0,74.42645317218245
27.25,74.67532490979141
27.5,74.90186678410214
27.750000000000004,75.11288670252242
28.000000000000004,75.33128026286272
28.25,75.56857508835441
28.5,75.81647470748271
28.75,76.05600330915212
29.000000000000004,76.26776832679724
29.250000000000004,76.44994664330403
29.5,76.6216307279787
29.75,76.86816573008042
30.0,77.17756056700205
30.250000000000004,77.358263607543
30.500000000000004,77.50048533726971
30.75,77.73048977476384
31.0,78.03552579218484
31.25,78.37834448265028
31.500000000000004,78.77500784055331
31.750000000000004,79.17014052338044
32.0,79.5238681371086
32.25,79.84408831049308
32.5,80.13465457152728
32.75000000000001,80.41181601352088
33.00000000000001,80.68216884182294
33.25,80.958533829452
33.5,81.23002248973802
33.75,81.50290374599035
34.00000000000001,81.77999952077624
34.25,82.02848245350447
34.5,82.22828954875382
34.75,82.39402550800594
35.0,82.54762548494318
35.25,82.73265618837911
35.5,82.97184413699438
35.75,83.25122588340594
36.0,83.52369609626373
36.25,83.7586951408228
36.5,83.97646622752228
36.75,84.23050981305283
37.0,84.54688176348242
37.25,84.88240823427236
37.5,85.18223073333621
37.75,85.47250445692777
38.0,85.851301669473
38.25,86.18987451446122
38.5,86.3719027064725
38.75,86.58046923715466
39.0,86.89909915363035
39.25,87.27902954707827
39.5,87.68548914736874
39.75,88.05534341986464
40.0,88.36445563998495
40.25,88.62296210402883
40.5,88.82348375174888
40.75,88.9825047126252
41.00000000000001,89.14954033473691
41.25,89.3573668692452
41.5,89.61548314736842
41.75,89.92284646412935
42.0,90.27821446538616
42.25000000000001,90.6700316139046
42.5,91.05817143370979
42.75,91.40658799691772
43.0,91.71292206631057
43.25,91.97954340861583
43.50000000000001,92.18811234191622
43.75,92.34719536050551
44.0,92.50721224521834
44.25,92.71630601356094
44.5,92.98343279522356
44.75000000000001,93.26046640752855
45.0,93.50108571735194
45.25,93.69928234291979
45.5,93.9001390334484
45.75,94.15991599430151
46.00000000000001,94.50332594076394
46.25,94.92978895917054
46.5,95.3847340967431
46.75,95.73687437047727
47.0,96.04214097264054
47.25000000000001,96.35358671227254
47.5,96.68780271855343
47.75,97.0537895388739
48.00000000000001,97.42724097703956
48.25,97.77809967570767
48.50000000000001,98.10003772007576
48.75,98.4059921741661
49.0,98.71113657960365
49.25000000000001,98.97598886951516
49.5,99.09870311592493
49.75000000000001,99.18879614386333
50.0,99.25103420083104
50.25,99.32326693337325
50.50000000000001,99.54050291310955
50.75,99.77193274791853
