Time [s],Autoclave Body Heat Transfer [kWh],Heat Lost To The Environment[kWh],Mould Assembly Heat Transfer [kWh],Simulated Energy Log [kWh],Experimental Energy Log [kWh]
0.0,0.0,0.0,0.0,0.0,-0.008611111
100.0,0.0,6.845991423024445e-17,0.0,6.845991423024445e-17,0.042638889
200.0,0.18083253560543058,1.0167635528875237e-07,0.0029218897495400568,0.18375452703132591,0.31
300.0,0.4378948360376435,3.4946326674741656e-06,0.0070368299490139825,0.44493516061932487,0.838194444
400.0,0.7455432229772797,2.3974699279559318e-05,0.01192338934721375,0.757490587023773,1.391388889
500.0,1.0946472175991036,8.83576385222215e-05,0.01743106039224168,1.1121666356298676,1.946527778
600.0,1.480141474626907,0.00023316237019641107,0.023478127641776616,1.5038527646388804,2.500277778
700.0,1.898223277197595,0.0005001395449444642,0.030005448497537373,1.9287288652400771,3.053333333
800.0,2.3456522007967906,0.000932752076803057,0.03696420816790861,2.3835491610415027,3.603888889
900.0,2.819552288814416,0.0015738925679496848,0.0443120493302042,2.8654382307125705,4.152222222
1000.0,3.3173413540867323,0.0024645629656762868,0.05201150893382119,3.3718174259862304,4.699027778
1100.0,3.8366942465150613,0.003643193781078006,0.060029183182804265,3.900366623478945,5.245
1200.0,4.375516191200077,0.005145358666509245,0.06833516812780571,4.448996717994393,5.78875
1300.0,4.931920008713839,0.007003722561219002,0.07690263041135025,5.0158263616864085,6.327777778
1400.0,5.5042056346160475,0.009248122079011021,0.08570745424621784,5.599161210941276,6.868611111
1500.0,6.090841523666582,0.01190571643228945,0.09472794089680264,6.197475180995674,7.416666667
1600.0,6.690447788013025,0.015001171966044991,0.10394454815464142,6.809393508133711,7.992222222
1700.0,7.3017809574304975,0.018556858555083485,0.11333966209327107,7.433677478078852,8.595972222
1800.0,7.923720243667157,0.022593045330053105,0.12289739576266426,8.069210684759874,9.321944444
1900.0,8.555255183853607,0.02712808876146681,0.1326034108325237,8.714986683447599,10.01347222
2000.0,9.195474537241461,0.03217860947676897,0.14244475904894394,9.370097905767173,10.83319444
2100.0,9.816237259319683,0.037759656182809055,0.15196579750203543,10.005962713004527,11.36555556
2200.0,10.271335949791819,0.04388458587975454,0.15881742057933038,10.474037956250903,11.81986111
2300.0,10.66464765734191,0.050560971959783395,0.1647104492849083,10.8799190785866,12.09263889
2400.0,11.01573626304752,0.057783425683046,0.16996806118984029,11.243487749920407,12.27555556
2500.0,11.33195684294949,0.06553279708229592,0.17471217931884186,11.572201819350628,12.41625
2600.0,11.617580563217922,0.07378019336153155,0.17901181658804893,11.870372573167506,12.53347222
2700.0,11.875887492442361,0.08249149673133795,0.18291790608399996,12.1412968952577,12.63069444
2800.0,12.109693287347895,0.09163075248879182,0.18647272745673188,12.38779676729342,12.7275
2900.0,12.321498910442104,0.10116232724859373,0.18971296216847125,12.61237419985917,12.81930556
3000.0,12.513545452202512,0.1110521495848964,0.1926709682057558,12.817268569993168,12.91208333
3100.0,12.687844151190419,0.12126834980263965,0.19537548523104786,13.004487986224108,12.99888889
3200.0,12.846199349153931,0.13178153031933612,0.19785212097517563,13.175833000448447,13.09083333
3300.0,12.990228764273429,0.14256481822125483,0.2001237323363314,13.33291731483102,13.17638889
3400.0,13.12138206318923,0.1535937945729571,0.20221074331479935,13.47718660107699,13.26625
3500.0,13.240957906336165,0.16484635806498402,0.20413141832075568,13.60993568272191,13.35208333
3600.0,13.350119499970775,0.17630255749953871,0.20590210066583114,13.732324158136151,13.43972222
3700.0,13.449908698481876,0.18794441345922142,0.20753742236464265,13.845390534305746,13.52694444
3800.0,13.541258730458354,0.19975574089290862,0.2090504895727628,13.950064960924033,13.61458333
3900.0,13.625005642971365,0.2117219791363708,0.210453046975159,14.047180669082902,13.69791667
4000.0,13.701898568319354,0.2238300327380515,0.21175562379733415,14.137484224854745,13.78125
4100.0,13.772608919150407,0.23606812457484597,0.21296766366547715,14.221644707390736,13.86458333
4200.0,13.837738614571881,0.24842566162766103,0.21409764021044794,14.300261916409996,13.94791667
4300.0,13.89782743384281,0.2608931131429117,0.2151531600514826,14.37387370703721,14.03125
4400.0,13.95335958695933,0.2734619005510014,0.2161410545856995,14.442962542096037,14.11458333
4500.0,14.004769583749855,0.2861242983338229,0.21706746183482736,14.507961343918511,14.19791667
4600.0,14.052447475490261,0.2988733449609945,0.21793789945227077,14.56925871990353,14.28125
4700.0,14.096743535799119,0.3117027630058556,0.21875732986587765,14.627203628670856,14.36458333
4800.0,14.137972440814258,0.3246068875804591,0.2195302184206196,14.682109546815338,14.44791667
4900.0,14.176417002439234,0.3375806022772822,0.2202605852879849,14.734258190004503,14.53125
5000.0,14.2123315027913,0.3506192818638483,0.22095205182310765,14.783902836478259,14.61458333
5100.0,14.245944672864065,0.36371874103860286,0.22160788197487363,14.831271295877544,14.69791667
5200.0,14.277462353807998,0.3768751886184147,0.2222310192871464,14.876568561713562,14.78125
5300.0,14.307069875092862,0.39008518658775465,0.22282411996975984,14.919979181650378,14.86458333
5400.0,14.334934180108693,0.40334561349573456,0.22338958246511947,14.96166937606955,14.94791667
5500.0,14.36120572644674,0.41665363173916437,0.22392957388936144,15.001788932075266,15.03125
5600.0,14.386020185141058,0.4300066583174171,0.22444605368535586,15.040472897143834,15.11458333
