Time [s],Autoclave Body Heat Transfer [kWh],Heat Lost To The Environment[kWh],Mould Assembly Heat Transfer [kWh],Simulated Energy Log [kWh],Experimental Energy Log [kWh]
0.0,0.0,0.0,0.0,0.0,-0.008611111
100.0,0.0,4.972330443027354e-15,0.0,4.972330443027354e-15,0.042638889
200.0,2.4766240594837634,1.4086612145101928e-11,0.06055766533948082,2.537181724837331,0.31
300.0,5.536062045184357,3.0994673756091183e-09,0.13513801920405638,5.67120006748788,0.838194444
400.0,9.054910596675938,6.479705355357498e-08,0.2207108159195942,9.275621477392585,1.391388889
500.0,12.951943462114778,5.401255415038673e-07,0.31528107049775606,13.267225072738077,1.946527778
600.0,17.172027426541526,2.726321729320059e-06,0.41749456807932045,17.589524720942578,2.500277778
700.0,21.676544431389974,1.0007886693602739e-05,0.5264027199272396,22.20295715920391,3.053333333
800.0,26.43756241063266,2.9465550960260528e-05,0.6413193822836035,27.07891125846722,3.603888889
900.0,31.434216553054014,7.379933916748058e-05,0.7617319677670102,32.196022320160196,4.152222222
1000.0,36.65041980137835,0.00016336747674770472,0.8872452346686369,37.53782840352374,4.699027778
1100.0,42.07338692804104,0.00032814883850641724,1.0175450868441402,43.0912601637237,5.245
1200.0,47.69266495343019,0.0006094754408667677,1.152374826790045,48.845649255661115,5.78875
1300.0,53.49948392059178,0.0010614329008455082,1.2915192819038213,54.79206463539646,6.327777778
1400.0,59.486313764670875,0.001751876965074078,1.4347939881861023,60.922859629822064,6.868611111
1500.0,65.64655606469793,0.0027630557798368244,1.5820376763175574,67.23135679679534,7.416666667
1600.0,71.97432564668983,0.004191857960386968,1.7331069510518373,73.71162445570208,7.992222222
1700.0,78.46429313095526,0.006149726066849581,1.8878724531275628,80.35831531014968,8.595972222
1800.0,85.11156957149929,0.008762285568019786,2.04621604136169,87.166547898429,9.321944444
1900.0,91.91162068729035,0.01216874298516954,2.208028689469868,94.13181811974538,10.01347222
2000.0,98.86020225300928,0.01652110577176436,2.373208892482738,101.24993225126377,10.83319444
2100.0,105.51257216620242,0.021983272375091577,2.530867164021381,108.06542260259889,11.36555556
2200.0,110.14052574080834,0.028730035141928803,2.638828331257467,112.80808410720773,11.81986111
2300.0,114.35192240382594,0.03694602648449811,2.7365799208274404,117.12544835113788,12.09263889
2400.0,118.25651074389386,0.046824577165191,2.826821151020914,121.13015647207995,12.27555556
2500.0,121.92592929423203,0.05856634020246537,2.911315970472885,124.89581160490738,12.41625
2600.0,125.40816482091526,0.07237751033766168,2.9912477271583318,128.47179005841124,12.53347222
2700.0,128.7361987551944,0.08846757589917835,3.0674314430698058,131.89209777416337,12.63069444
2800.0,131.9332887959191,0.10704667935822987,3.1404435214279958,135.1807789967053,12.7275
2900.0,135.01625862814498,0.12832275898389814,3.21070252003218,138.35528390716107,12.81930556
3000.0,137.997585761337,0.15249867719324267,3.278520374972499,141.42860481350272,12.91208333
3100.0,140.88675147616377,0.17976952435569837,3.3441354761781947,144.41065647669762,12.99888889
3200.0,143.6911301850879,0.2103202420125145,3.407734417900853,147.30918484500123,13.09083333
3300.0,146.41658653709513,0.24432365583116247,3.4694665702428065,150.13037676316907,13.17638889
3400.0,149.06788394683127,0.28193895857617074,3.5294540269847867,152.87927693239223,13.26625
3500.0,151.64896932811797,0.32331064314847696,3.5877985261576644,155.5600784974241,13.35208333
