Time [s],Autoclave Body Heat Transfer [kWh],Heat Lost To The Environment[kWh],Mould Assembly Heat Transfer [kWh],Simulated Energy Log [kWh],Experimental Energy Log [kWh]
0.0,0.0,0.0,0.0,0.0,-0.008611111
100.0,0.0,0.0,0.0,0.0,0.042638889
200.0,0.8966456343553599,0.0015721114048381846,0.024556882242765483,0.9227746280029637,0.31
300.0,2.8640946861804304,0.016354306434540535,0.07844039300010534,2.9588893856150764,0.838194444
400.0,5.057266922751787,0.05121451941512375,0.13850589746252995,5.246987339629442,1.391388889
500.0,7.285890693419122,0.10921580978941613,0.19954233081231398,7.594648834020854,1.946527778
600.0,9.513901171403688,0.19198391571445053,0.2605619676087953,9.966447054726935,2.500277778
700.0,11.734259353231527,0.3005653996024747,0.3213720271448658,12.356196779978868,3.053333333
800.0,13.94675803156907,0.43572796135337827,0.38196683452969304,14.764452827452141,3.603888889
900.0,16.15245553393158,0.5980806557904834,0.442375374708021,17.192911564430084,4.152222222
1000.0,18.34818086964087,0.7881123685142176,0.5025108021728918,19.638804040327983,4.699027778
1100.0,20.540673703683247,1.0062181668254713,0.5625576994986056,22.109449570007325,5.245
1200.0,22.732892741249138,1.2528324589930127,0.6225970982233404,24.60832229846549,5.78875
1300.0,24.919134964484297,1.5282702658274692,0.6824728069460464,27.129878037257814,6.327777778
1400.0,27.106898511428852,1.8328763849234793,0.7423901809217281,29.682165077274064,6.868611111
1500.0,29.285003489344334,2.1668924718691045,0.8020430308388601,32.253938992052305,7.416666667
1600.0,31.211647016372144,2.529911618294762,0.8548089802889159,34.596367614955824,7.992222222
1700.0,31.736821106769032,2.905277710202487,0.8691921856497494,35.51129100262127,8.595972222
1800.0,31.857118593601502,3.28358943673552,0.8724868330612315,36.013194863398255,9.321944444
1900.0,31.887124446191407,3.6626650968630763,0.8733086183467573,36.42309816140124,10.01347222
2000.0,31.895091675590603,4.041951913436508,0.8735268208413225,36.81057040986844,10.83319444
2100.0,31.89730768931638,4.42129983101659,0.8735875119170687,37.19219503225005,11.36555556
2200.0,31.89794708361218,4.800666051537532,0.8736050233282964,37.572218158478016,11.81986111
2300.0,31.89813738971327,5.180037909637065,0.8736102353366255,37.95178553468698,12.09263889
2400.0,31.89819560997763,5.559411545452401,0.8736118298441113,38.33121898527416,12.27555556
2500.0,31.89821386627749,5.9387857532873936,0.8736123298385224,38.71061194940342,12.41625
2600.0,31.898219718349136,6.318160148424135,0.8736124901121343,39.089992356885425,12.53347222
2700.0,31.89822163079917,6.697534605817263,0.8736125424893594,39.469368779105814,12.63069444
2800.0,31.898222266250695,7.076909084169318,0.873612559892788,39.84874391031283,12.7275
2900.0,31.898222480375935,7.456283569653746,0.873612565757143,40.22811861578685,12.81930556
3000.0,31.89822255337645,7.835658057587374,0.8736125677564444,40.60749317872029,12.91208333
3100.0,31.89822257850477,8.215032546368414,0.8736125684446464,40.98686769331786,12.99888889
3200.0,31.89822258722272,8.594407035444506,0.873612568683409,41.36624219135066,13.09083333
3300.0,31.898222590266705,8.973781524623867,0.8736125687667763,41.745616683657374,13.17638889
3400.0,31.89822259133547,9.353156013839534,0.8736125687960471,42.12499117397108,13.26625
3500.0,31.898222591712244,9.732530503068016,0.8736125688063658,42.50436566358665,13.35208333
3600.0,31.89822259184535,10.11190499230103,0.8736125688100114,42.88374015295641,13.43972222
3700.0,31.89822259189252,10.49127948153565,0.8736125688113031,43.26311464223949,13.52694444
3800.0,31.898222591909725,10.870653970770846,0.8736125688117744,43.642489131492376,13.61458333
3900.0,31.898222591915847,11.25002846000625,0.8736125688119422,44.021863620734074,13.69791667
4000.0,31.898222591918017,11.629402949241726,0.8736125688120016,44.40123810997178,13.78125
4100.0,31.898222591918756,12.008777438477228,0.8736125688120219,44.78061259920805,13.86458333
4200.0,31.89822259191898,12.388151927712737,0.8736125688120279,45.15998708844379,13.94791667
4300.0,31.898222591918987,12.767526416948249,0.8736125688120282,45.539361577679315,14.03125
4400.0,31.898222591918987,13.146900906183761,0.8736125688120282,45.91873606691483,14.11458333
4500.0,31.898222591918987,13.526275395419272,0.8736125688120282,46.29811055615034,14.19791667
