Time [s],Autoclave Body Heat Transfer [kWh],Heat Lost To The Environment[kWh],Mould Assembly Heat Transfer [kWh],Simulated Energy Log [kWh],Experimental Energy Log [kWh]
0.0,0.0,0.0,0.0,0.0,-0.008611111
50.0,0.0,1.4149940259551132e-20,0.0,1.4149940259551132e-20,0.021111111
100.0,0.007226239224361593,1.4149940259551132e-20,0.0001979086262080343,0.007424147850569628,0.042638889
150.0,0.04750963543157715,1.6892152195854007e-05,0.0013011701367717527,0.04882769772054475,0.179305556
200.0,0.10264201522837448,0.00011054918453633641,0.002811108184266671,0.1055636725971775,0.31
250.0,0.16592816234492017,0.00032918350108265,0.004544357533611541,0.17080170337961437,0.614305556
300.0,0.23366011977212556,0.0007088484175126198,0.0063993665125017364,0.2407683347021399,0.838194444
350.0,0.30378728129108995,0.001276052265541524,0.008319974143272955,0.3133833076999044,1.158611111
400.0,0.37517742265079046,0.002050532850040279,0.010275171634336352,0.38750312713516716,1.391388889
450.0,0.4472063842351318,0.0030473780250571962,0.012247864814253552,0.4625016270744426,1.715
500.0,0.5195311648855242,0.0042784947271774084,0.014228659738819743,0.5380383193515214,1.946527778
550.0,0.5919645333151256,0.005753590169484487,0.01621242861118077,0.6139305520957908,2.269305556
600.0,0.6644056523327007,0.007480820081492048,0.018196409752769337,0.6900828821669622,2.500277778
650.0,0.7368016051560383,0.009467218060185217,0.020179153905216653,0.7664479771214404,2.822777778
700.0,0.8091260002024624,0.01171898301755766,0.022159938269054196,0.8430049214890746,3.053333333
750.0,0.8813670420503557,0.014241674783485104,0.024138439797173304,0.9197471566310144,3.374166667
800.0,0.953520868055994,0.017040349916360605,0.026114552701419286,0.9966757706737742,3.603888889
850.0,1.0255878252541124,0.02011965816549957,0.02808828648620592,1.0737957699058183,3.924027778
900.0,1.0975703950649767,0.023483912664965523,0.03005970911143054,1.1511140168413732,4.152222222
950.0,1.1694720442226672,0.02713714229042213,0.032028915522272515,1.2286381020353623,4.47125
1000.0,1.241296597216802,0.031083131672870933,0.033996010461940965,1.3063757393516144,4.699027778
1050.0,1.3130479022701713,0.03532545249593825,0.035961099323637266,1.3843344540897478,5.0175
1100.0,1.3847296619460525,0.039867488506532586,0.0379242835113129,1.4625214339638988,5.245
1150.0,1.4563453553026096,0.044712455893442735,0.03988565830767306,1.540943469503726,5.562638889
1200.0,1.5278982101214114,0.04986342018020681,0.04184531211358523,1.619606942415204,5.78875
1250.0,1.5993912017132774,0.05532331044095819,0.04380332641537424,1.6985178385696105,6.104027778
1300.0,1.6708270650615595,0.061094931420463294,0.04575977611739644,1.77768177259942,6.327777778
1350.0,1.7422083129262593,0.06718097398396614,0.047714730037866186,1.8571040169480924,6.643888889
