Time [s],Temperature of Mould [C],Heat Transfered to Mould [kWh],Heat Transfered to Gas [kWh],Heat Transfered to Autoclave [kWh],Heat Lost To The Environment [kWh],Total Energy Consumed [kWh]
0.0,20.0,0.0,0.0,0.0,0.0,0.0
0.0,21.0,0.003432179166666667,0.009229783333333333,0.15635849444444447,0.0,0.1878005077160494
4.0,21.0,0.003432179166666667,0.009229783333333333,0.15635849444444447,0.00025656296296296295,0.18808557767489714
9.0,21.0,0.003432179166666667,0.009229783333333333,0.15635849444444447,0.0005772666666666666,0.1884419151234568
14.0,22.0,0.006864358333333334,0.018459566666666666,0.31271698888888894,0.001218674074074074,0.37695509773662556
19.0,22.0,0.006864358333333334,0.018459566666666666,0.31271698888888894,0.0018600814814814814,0.3776677726337449
24.0,22.0,0.006864358333333334,0.018459566666666666,0.31271698888888894,0.002501488888888889,0.37838044753086425
29.0,22.0,0.006864358333333334,0.018459566666666666,0.31271698888888894,0.003142896296296296,0.3790931224279836
34.0,23.0,0.010296537500000001,0.02768935,0.4690754833333334,0.004105007407407407,0.567962642489712
39.0,23.0,0.010296537500000001,0.02768935,0.4690754833333334,0.005067118518518519,0.569031654835391
44.0,23.0,0.010296537500000001,0.02768935,0.4690754833333334,0.00602922962962963,0.57010066718107
49.0,23.0,0.010296537500000001,0.02768935,0.4690754833333334,0.006991340740740741,0.5711696795267491
54.0,24.0,0.013728716666666668,0.03691913333333333,0.6254339777777779,0.008274155555555555,0.7603955370370372
59.0,24.0,0.013728716666666668,0.03691913333333333,0.6254339777777779,0.00955697037037037,0.7618208868312758
64.0,24.0,0.013728716666666668,0.03691913333333333,0.6254339777777779,0.010839785185185184,0.7632462366255145
69.0,24.0,0.013728716666666668,0.03691913333333333,0.6254339777777779,0.012122599999999999,0.7646715864197532
74.0,25.0,0.017160895833333335,0.04614891666666667,0.7817924722222224,0.013726118518518515,0.9542537813786008
79.0,25.0,0.017160895833333335,0.04614891666666667,0.7817924722222224,0.015329637037037035,0.9560354686213992
84.0,25.0,0.017160895833333335,0.04614891666666667,0.7817924722222224,0.016933155555555555,0.9578171558641975
89.0,25.0,0.017160895833333335,0.04614891666666667,0.7817924722222224,0.018536674074074076,0.9595988431069958
94.0,26.0,0.020593075000000002,0.0553787,0.9381509666666668,0.020460896296296296,1.1495373755144034
99.0,26.0,0.020593075000000002,0.0553787,0.9381509666666668,0.02238511851851852,1.1516754002057614
104.0,26.0,0.020593075000000002,0.0553787,0.9381509666666668,0.02430934074074074,1.1538134248971195
109.0,26.0,0.020593075000000002,0.0553787,0.9381509666666668,0.02623356296296296,1.1559514495884775
114.0,27.0,0.02402525416666667,0.06460848333333334,1.0945094611111112,0.02847848888888889,1.3462463194444445
119.0,27.0,0.02402525416666667,0.06460848333333334,1.0945094611111112,0.030723414814814814,1.3487406815843623
124.0,27.0,0.02402525416666667,0.06460848333333334,1.0945094611111112,0.032968340740740745,1.35123504372428
129.0,27.0,0.02402525416666667,0.06460848333333334,1.0945094611111112,0.035213266666666666,1.3537294058641975
134.0,28.0,0.027457433333333336,0.07383826666666667,1.2508679555555557,0.0377788962962963,1.5443806131687243
139.0,28.0,0.027457433333333336,0.07383826666666667,1.2508679555555557,0.040344525925925925,1.5472313127572015
144.0,28.0,0.027457433333333336,0.07383826666666667,1.2508679555555557,0.04291015555555556,1.5500820123456789
149.0,28.0,0.027457433333333336,0.07383826666666667,1.2508679555555557,0.045475785185185184,1.5529327119341563
154.0,29.0,0.030889612500000004,0.08306804999999999,1.4072264500000002,0.048362118518518515,1.7439402566872426
159.0,29.0,0.030889612500000004,0.08306804999999999,1.4072264500000002,0.051248451851851846,1.7471472937242796
164.0,29.0,0.030889612500000004,0.08306804999999999,1.4072264500000002,0.05413478518518517,1.7503543307613165
169.0,29.0,0.030889612500000004,0.08306804999999999,1.4072264500000002,0.0570211185185185,1.7535613677983535
174.0,30.0,0.03432179166666667,0.09229783333333332,1.5635849444444447,0.060228155555555545,1.9449252499999994
179.0,30.0,0.03432179166666667,0.09229783333333332,1.5635849444444447,0.06343519259259259,1.948488624485596
184.0,30.0,0.03432179166666667,0.09229783333333332,1.5635849444444447,0.06664222962962962,1.9520519989711926
189.0,30.0,0.03432179166666667,0.09229783333333332,1.5635849444444447,0.06984926666666666,1.9556153734567892
194.0,31.0,0.03775397083333334,0.10152761666666664,1.719943438888889,0.0733770074074074,2.1473355931069946
199.0,31.0,0.03775397083333334,0.10152761666666664,1.719943438888889,0.07690474814814813,2.151255305041151
204.0,31.0,0.03775397083333334,0.10152761666666664,1.719943438888889,0.08043248888888886,2.1551750169753072
209.0,31.0,0.03775397083333334,0.10152761666666664,1.719943438888889,0.0839602296296296,2.1590947289094635
214.0,32.0,0.041186150000000005,0.11075739999999998,1.8763019333333335,0.08780867407407404,2.3511712860082286
219.0,32.0,0.041186150000000005,0.11075739999999998,1.8763019333333335,0.0916571185185185,2.3554473353909446
224.0,32.0,0.041186150000000005,0.11075739999999998,1.8763019333333335,0.09550556296296295,2.3597233847736607
229.0,32.0,0.041186150000000005,0.11075739999999998,1.8763019333333335,0.0993540074074074,2.363999434156377
234.0,33.0,0.04461832916666667,0.1199871833333333,2.032660427777778,0.10352315555555555,2.556432328703702
239.0,33.0,0.04461832916666667,0.1199871833333333,2.032660427777778,0.10769230370370371,2.561064715534978
244.0,33.0,0.04461832916666667,0.1199871833333333,2.032660427777778,0.11186145185185185,2.565697102366254
249.0,33.0,0.04461832916666667,0.1199871833333333,2.032660427777778,0.11603060000000001,2.5703294891975297
254.0,34.0,0.04805050833333334,0.12921696666666663,2.1890189222222225,0.12052045185185187,2.7631187211934143
259.0,34.0,0.04805050833333334,0.12921696666666663,2.1890189222222225,0.12501030370370372,2.76810744547325
264.0,34.0,0.04805050833333334,0.12921696666666663,2.1890189222222225,0.12950015555555558,2.773096169753085
269.0,34.0,0.04805050833333334,0.12921696666666663,2.1890189222222225,0.13399000740740744,2.778084894032921
274.0,35.0,0.051482687500000006,0.13844674999999995,2.345377416666667,0.13880056296296298,2.9712304634773647
279.0,35.0,0.051482687500000006,0.13844674999999995,2.345377416666667,0.14361111851851854,2.9765755252057597
284.0,35.0,0.051482687500000006,0.13844674999999995,2.345377416666667,0.14842167407407408,2.9819205869341547
289.0,35.0,0.051482687500000006,0.13844674999999995,2.345377416666667,0.15323222962962965,2.9872656486625497
294.0,36.0,0.05491486666666667,0.14767653333333328,2.5017359111111115,0.1583634888888889,3.180767555555554
299.0,36.0,0.05491486666666667,0.14767653333333328,2.5017359111111115,0.16349474814814816,3.1864689547325087
304.0,36.0,0.05491486666666667,0.14767653333333328,2.5017359111111115,0.1686260074074074,3.1921703539094635
309.0,36.0,0.05491486666666667,0.14767653333333328,2.5017359111111115,0.1737572666666667,3.1978717530864182
314.0,37.0,0.05834704583333334,0.1569063166666666,2.658094405555556,0.17920922962962962,3.3917299974279813
319.0,37.0,0.05834704583333334,0.1569063166666666,2.658094405555556,0.1846611925925926,3.397787734053496
324.0,37.0,0.05834704583333334,0.1569063166666666,2.658094405555556,0.19011315555555555,3.40384547067901
329.0,37.0,0.05834704583333334,0.1569063166666666,2.658094405555556,0.19556511851851852,3.4099032073045246
334.0,38.0,0.06177922500000001,0.16613609999999993,2.8144529000000005,0.20133778518518516,3.604117789094648
339.0,38.0,0.06177922500000001,0.16613609999999993,2.8144529000000005,0.20711045185185184,3.6105318631687218
344.0,38.0,0.06177922500000001,0.16613609999999993,2.8144529000000005,0.2128831185185185,3.6169459372427957
349.0,38.0,0.06177922500000001,0.16613609999999993,2.8144529000000005,0.21865578518518516,3.6233600113168696
354.0,39.0,0.06521140416666667,0.17536588333333325,2.970811394444445,0.22474915555555552,3.817930930555552
359.0,39.0,0.06521140416666667,0.17536588333333325,2.970811394444445,0.23084252592592588,3.824701342078186
364.0,39.0,0.06521140416666667,0.17536588333333325,2.970811394444445,0.23693589629629624,3.8314717536008196
369.0,39.0,0.06521140416666667,0.17536588333333325,2.970811394444445,0.2430292666666666,3.8382421651234533
374.0,40.0,0.06864358333333334,0.18459566666666657,3.1271698888888895,0.24944334074074065,4.033169421810696
379.0,40.0,0.06864358333333334,0.18459566666666657,3.1271698888888895,0.2558574148148147,4.040296170781889
384.0,40.0,0.06864358333333334,0.18459566666666657,3.1271698888888895,0.2622714888888888,4.047422919753082
389.0,40.0,0.06864358333333334,0.18459566666666657,3.1271698888888895,0.26868556296296287,4.054549668724276
394.0,41.0,0.0720757625,0.1938254499999999,3.283528383333334,0.2754203407407406,4.2498332628600775
399.0,41.0,0.0720757625,0.1938254499999999,3.283528383333334,0.2821551185185184,4.25731634927983
404.0,41.0,0.0720757625,0.1938254499999999,3.283528383333334,0.28888989629629613,4.264799435699583
409.0,41.0,0.0720757625,0.1938254499999999,3.283528383333334,0.29562467407407395,4.272282522119336
414.0,42.0,0.07550794166666668,0.20305523333333322,3.439886877777778,0.30268015555555544,4.4679224537036974
419.0,42.0,0.07550794166666668,0.20305523333333322,3.439886877777778,0.30973563703703694,4.47576187757201
424.0,42.0,0.07550794166666668,0.20305523333333322,3.439886877777778,0.31679111851851843,4.483601301440323
429.0,42.0,0.07550794166666668,0.20305523333333322,3.439886877777778,0.32384659999999993,4.491440725308635
434.0,43.0,0.07894012083333335,0.21228501666666655,3.5962453722222225,0.3312227851851851,4.687436994341557
439.0,43.0,0.07894012083333335,0.21228501666666655,3.5962453722222225,0.3385989703703703,4.69563275565843
444.0,43.0,0.07894012083333335,0.21228501666666655,3.5962453722222225,0.34597515555555547,4.703828516975303
449.0,43.0,0.07894012083333335,0.21228501666666655,3.5962453722222225,0.3533513407407406,4.7120242782921755
454.0,44.0,0.08237230000000001,0.22151479999999987,3.752603866666667,0.3610482296296295,4.9083768847736575
459.0,44.0,0.08237230000000001,0.22151479999999987,3.752603866666667,0.36874511851851843,4.91692898353909
464.0,44.0,0.08237230000000001,0.22151479999999987,3.752603866666667,0.3764420074074073,4.925481082304522
469.0,44.0,0.08237230000000001,0.22151479999999987,3.752603866666667,0.3841388962962962,4.934033181069954
474.0,45.0,0.08580447916666667,0.2307445833333332,3.9089623611111115,0.39215648888888877,5.130742124999996
479.0,45.0,0.08580447916666667,0.2307445833333332,3.9089623611111115,0.40017408148148137,5.139650561213987
484.0,45.0,0.08580447916666667,0.2307445833333332,3.9089623611111115,0.4081916740740739,5.14855899742798
489.0,45.0,0.08580447916666667,0.2307445833333332,3.9089623611111115,0.4162092666666665,5.157467433641971
494.0,46.0,0.08923665833333333,0.23997436666666652,4.065320855555556,0.4245475629629628,5.354532715020572
499.0,46.0,0.08923665833333333,0.23997436666666652,4.065320855555556,0.4328858592592591,5.363797488683124
504.0,46.0,0.08923665833333333,0.23997436666666652,4.065320855555556,0.44122415555555544,5.373062262345676
509.0,46.0,0.08923665833333333,0.23997436666666652,4.065320855555556,0.44956245185185173,5.382327036008228
514.0,47.0,0.09266883749999999,0.24920414999999985,4.2216793500000005,0.4582214518518517,5.579748654835386
519.0,47.0,0.09266883749999999,0.24920414999999985,4.2216793500000005,0.4668804518518517,5.589369765946498
524.0,47.0,0.09266883749999999,0.24920414999999985,4.2216793500000005,0.47553945185185165,5.5989908770576085
529.0,47.0,0.09266883749999999,0.24920414999999985,4.2216793500000005,0.4841984518518516,5.608611988168719
534.0,48.0,0.09610101666666665,0.2584339333333332,4.378037844444445,0.49317815555555533,5.806389944444439
539.0,48.0,0.09610101666666665,0.2584339333333332,4.378037844444445,0.502157859259259,5.81636739300411
544.0,48.0,0.09610101666666665,0.2584339333333332,4.378037844444445,0.5111375629629628,5.826344841563781
549.0,48.0,0.09610101666666665,0.2584339333333332,4.378037844444445,0.5201172666666665,5.8363222901234515
554.0,49.0,0.0995331958333333,0.2676637166666665,4.5343963388888895,0.5294176740740738,6.034456583847731
559.0,49.0,0.0995331958333333,0.2676637166666665,4.5343963388888895,0.5387180814814813,6.044790369855961
564.0,49.0,0.0995331958333333,0.2676637166666665,4.5343963388888895,0.5480184888888886,6.055124155864191
569.0,49.0,0.0995331958333333,0.2676637166666665,4.5343963388888895,0.5573188962962959,6.06545794187242
574.0,50.0,0.10296537499999996,0.27689349999999985,4.690754833333334,0.566940007407407,6.263948573045259
579.0,50.0,0.10296537499999996,0.27689349999999985,4.690754833333334,0.5765611185185182,6.27463869650205
584.0,50.0,0.10296537499999996,0.27689349999999985,4.690754833333334,0.5861822296296293,6.28532881995884
589.0,50.0,0.10296537499999996,0.27689349999999985,4.690754833333334,0.5958033407407404,6.296018943415631
594.0,51.0,0.10639755416666662,0.28612328333333314,4.847113327777779,0.6057451555555552,6.494865912037031
599.0,51.0,0.10639755416666662,0.28612328333333314,4.847113327777779,0.61568697037037,6.5059123729423805
604.0,51.0,0.10639755416666662,0.28612328333333314,4.847113327777779,0.6256287851851847,6.516958833847731
609.0,51.0,0.10639755416666662,0.28612328333333314,4.847113327777779,0.6355705999999995,6.528005294753081
614.0,52.0,0.10982973333333328,0.2953530666666665,5.003471822222223,0.6458331185185181,6.72720860082304
619.0,52.0,0.10982973333333328,0.2953530666666665,5.003471822222223,0.6560956370370367,6.738611399176949
624.0,52.0,0.10982973333333328,0.2953530666666665,5.003471822222223,0.6663581555555552,6.7500141975308585
629.0,52.0,0.10982973333333328,0.2953530666666665,5.003471822222223,0.6766206740740739,6.761416995884768
634.0,53.0,0.11326191249999994,0.3045828499999998,5.159830316666667,0.6872038962962961,6.960976639403287
639.0,53.0,0.11326191249999994,0.3045828499999998,5.159830316666667,0.6977871185185184,6.972735775205756
644.0,53.0,0.11326191249999994,0.3045828499999998,5.159830316666667,0.7083703407407406,6.984494911008226
649.0,53.0,0.11326191249999994,0.3045828499999998,5.159830316666667,0.7189535629629629,6.996254046810695
654.0,54.0,0.1166940916666666,0.31381263333333315,5.316188811111111,0.7298574888888888,7.196170027777773
659.0,54.0,0.1166940916666666,0.31381263333333315,5.316188811111111,0.7407614148148146,7.2082855010288025
664.0,54.0,0.1166940916666666,0.31381263333333315,5.316188811111111,0.7516653407407405,7.220400974279831
669.0,54.0,0.1166940916666666,0.31381263333333315,5.316188811111111,0.7625692666666665,7.232516447530859
674.0,55.0,0.12012627083333326,0.32304241666666644,5.472547305555555,0.7737938962962961,7.432788765946498
679.0,55.0,0.12012627083333326,0.32304241666666644,5.472547305555555,0.7850185259259257,7.445260576646086
684.0,55.0,0.12012627083333326,0.32304241666666644,5.472547305555555,0.7962431555555552,7.457732387345676
689.0,55.0,0.12012627083333326,0.32304241666666644,5.472547305555555,0.8074677851851848,7.470204198045264
694.0,56.0,0.12355844999999992,0.3322721999999998,5.628905799999998,0.8190131185185182,7.670832853909461
699.0,56.0,0.12355844999999992,0.3322721999999998,5.628905799999998,0.8305584518518516,7.683661002057609
704.0,56.0,0.12355844999999992,0.3322721999999998,5.628905799999998,0.842103785185185,7.696489150205757
709.0,56.0,0.12355844999999992,0.3322721999999998,5.628905799999998,0.8536491185185184,7.709317298353905
714.0,57.0,0.12699062916666656,0.3415019833333331,5.785264294444443,0.8655151555555555,7.910302291666662
719.0,57.0,0.12699062916666656,0.3415019833333331,5.785264294444443,0.8773811925925925,7.923486777263371
724.0,57.0,0.12699062916666656,0.3415019833333331,5.785264294444443,0.8892472296296295,7.936671262860079
729.0,57.0,0.12699062916666656,0.3415019833333331,5.785264294444443,0.9011132666666666,7.949855748456787
734.0,58.0,0.13042280833333322,0.35073176666666644,5.941622788888886,0.9133000074074074,8.151197079218102
739.0,58.0,0.13042280833333322,0.35073176666666644,5.941622788888886,0.925486748148148,8.16473790226337
744.0,58.0,0.13042280833333322,0.35073176666666644,5.941622788888886,0.9376734888888888,8.178278725308637
749.0,58.0,0.13042280833333322,0.35073176666666644,5.941622788888886,0.9498602296296295,8.191819548353905
754.0,59.0,0.13385498749999988,0.35996154999999974,6.097981283333331,0.9623676740740739,8.393517216563781
759.0,59.0,0.13385498749999988,0.35996154999999974,6.097981283333331,0.9748751185185183,8.407414377057608
764.0,59.0,0.13385498749999988,0.35996154999999974,6.097981283333331,0.9873825629629627,8.421311537551436
769.0,59.0,0.13385498749999988,0.35996154999999974,6.097981283333331,0.9998900074074071,8.435208698045264
774.0,60.0,0.13728716666666654,0.3691913333333331,6.2543397777777745,1.0127181555555553,8.6372627037037
779.0,60.0,0.13728716666666654,0.3691913333333331,6.2543397777777745,1.0255463037037034,8.651516201646086
784.0,60.0,0.13728716666666654,0.3691913333333331,6.2543397777777745,1.0383744518518516,8.665769699588472
789.0,60.0,0.13728716666666654,0.3691913333333331,6.2543397777777745,1.0512025999999999,8.680023197530858
794.0,61.0,0.1407193458333332,0.3784211166666664,6.410698272222218,1.0643514518518518,8.882433540637853
799.0,61.0,0.1407193458333332,0.3784211166666664,6.410698272222218,1.0775003037037036,8.897043376028801
804.0,61.0,0.1407193458333332,0.3784211166666664,6.410698272222218,1.0906491555555553,8.911653211419749
809.0,61.0,0.1407193458333332,0.3784211166666664,6.410698272222218,1.1037980074074072,8.926263046810694
814.0,62.0,0.14415152499999986,0.38765089999999974,6.567056766666663,1.1172675629629627,9.129029727366248
819.0,62.0,0.14415152499999986,0.38765089999999974,6.567056766666663,1.1307371185185184,9.143995900205754
824.0,62.0,0.14415152499999986,0.38765089999999974,6.567056766666663,1.144206674074074,9.15896207304526
829.0,62.0,0.14415152499999986,0.38765089999999974,6.567056766666663,1.1576762296296295,9.173928245884765
834.0,63.0,0.14758370416666652,0.39688068333333304,6.723415261111106,1.1714664888888888,9.377051263888882
839.0,63.0,0.14758370416666652,0.39688068333333304,6.723415261111106,1.185256748148148,9.392373774176948
844.0,63.0,0.14758370416666652,0.39688068333333304,6.723415261111106,1.1990470074074073,9.407696284465013
849.0,63.0,0.14758370416666652,0.39688068333333304,6.723415261111106,1.2128372666666667,9.42301879475308
854.0,64.0,0.15101588333333318,0.4061104666666664,6.87977375555555,1.2269482296296297,9.626498150205753
859.0,64.0,0.15101588333333318,0.4061104666666664,6.87977375555555,1.2410591925925927,9.642176997942379
864.0,64.0,0.15101588333333318,0.4061104666666664,6.87977375555555,1.2551701555555557,9.657855845679004
869.0,64.0,0.15101588333333318,0.4061104666666664,6.87977375555555,1.2692811185185187,9.673534693415629
874.0,65.0,0.15444806249999984,0.4153402499999997,7.036132249999994,1.2837127851851853,9.877370386316864
879.0,65.0,0.15444806249999984,0.4153402499999997,7.036132249999994,1.2981444518518521,9.893405571502047
884.0,65.0,0.15444806249999984,0.4153402499999997,7.036132249999994,1.3125761185185187,9.909440756687232
889.0,65.0,0.15444806249999984,0.4153402499999997,7.036132249999994,1.3270077851851854,9.925475941872419
894.0,66.0,0.1578802416666665,0.42457003333333304,7.192490744444438,1.3417601555555556,10.129667972222213
899.0,66.0,0.1578802416666665,0.42457003333333304,7.192490744444438,1.356512525925926,10.146059494855958
904.0,66.0,0.1578802416666665,0.42457003333333304,7.192490744444438,1.3712648962962963,10.162451017489705
909.0,66.0,0.1578802416666665,0.42457003333333304,7.192490744444438,1.3860172666666668,10.178842540123448
914.0,67.0,0.16131242083333316,0.4337998166666664,7.348849238888882,1.4010903407407407,10.383390907921806
919.0,67.0,0.16131242083333316,0.4337998166666664,7.348849238888882,1.4161634148148148,10.40013876800411
924.0,67.0,0.16131242083333316,0.4337998166666664,7.348849238888882,1.4312364888888887,10.416886628086417
929.0,67.0,0.16131242083333316,0.4337998166666664,7.348849238888882,1.4463095629629628,10.433634488168721
934.0,68.0,0.16474459999999982,0.4430295999999997,7.505207733333326,1.4617033407407405,10.638539193415637
939.0,68.0,0.16474459999999982,0.4430295999999997,7.505207733333326,1.477097118518518,10.655643390946501
944.0,68.0,0.16474459999999982,0.4430295999999997,7.505207733333326,1.4924908962962957,10.672747588477366
949.0,68.0,0.16474459999999982,0.4430295999999997,7.505207733333326,1.5078846740740735,10.68985178600823
954.0,69.0,0.16817677916666648,0.45225938333333304,7.66156622777777,1.523599155555555,10.895112828703704
959.0,69.0,0.16817677916666648,0.45225938333333304,7.66156622777777,1.5393136370370366,10.912573363683128
964.0,69.0,0.16817677916666648,0.45225938333333304,7.66156622777777,1.5550281185185182,10.930033898662552
969.0,69.0,0.16817677916666648,0.45225938333333304,7.66156622777777,1.5707425999999998,10.947494433641976
974.0,70.0,0.17160895833333314,0.46148916666666634,7.817924722222214,1.5867777851851852,11.153111813786008
979.0,70.0,0.17160895833333314,0.46148916666666634,7.817924722222214,1.6028129703703704,11.170928686213992
984.0,70.0,0.17160895833333314,0.46148916666666634,7.817924722222214,1.6188481555555556,11.188745558641974
989.0,70.0,0.17160895833333314,0.46148916666666634,7.817924722222214,1.6348833407407408,11.206562431069958
994.0,71.0,0.1750411374999998,0.4707189499999997,7.974283216666658,1.6512392296296299,11.412536148662552
999.0,71.0,0.1750411374999998,0.4707189499999997,7.974283216666658,1.6675951185185187,11.430709358539097
1004.0,71.0,0.1750411374999998,0.4707189499999997,7.974283216666658,1.6839510074074078,11.448882568415641
1009.0,71.0,0.1750411374999998,0.4707189499999997,7.974283216666658,1.7003068962962966,11.467055778292183
1014.0,72.0,0.17847331666666646,0.479948733333333,8.130641711111101,1.7169834888888893,11.673385833333338
1019.0,72.0,0.17847331666666646,0.479948733333333,8.130641711111101,1.733660081481482,11.691915380658441
1024.0,72.0,0.17847331666666646,0.479948733333333,8.130641711111101,1.7503366740740745,11.710444927983545
