Time [s],Autoclave Body Heat Transfer [kWh],Heat Lost To The Environment[kWh],Mould Assembly Heat Transfer [kWh],Simulated Energy Log [kWh],Experimental Energy Log [kWh]
0.0,0.0,0.0,0.0,0.0,-0.008611111
50.0,0.0,3.4229957115122227e-17,0.0,3.4229957115122227e-17,0.021111111
100.0,0.039793144568958265,2.8248272109286057e-13,0.0007523426453213113,0.04054548721456205,0.042638889
150.0,0.10867109100513765,6.695240998047706e-10,0.0020466197133427225,0.11071771138800446,0.179305556
200.0,0.1834884362720918,2.5322074764461787e-08,0.003442753700139082,0.18693121529430565,0.31
250.0,0.27731263824653596,2.450188754358758e-07,0.00518884574028212,0.28250172900569354,0.614305556
300.0,0.3732114509442751,1.2232884690550734e-06,0.006963079503807798,0.380175753736552,0.838194444
350.0,0.48578078778714956,4.148724346889408e-06,0.009042609335111423,0.49482754584660793,1.158611111
400.0,0.5987953662348681,1.0950940985129003e-05,0.01111911673295937,0.6099254339088126,1.391388889
450.0,0.7272413520438784,2.429501883378193e-05,0.013477309936614505,0.7407429569993267,1.715
500.0,0.8551259227671473,4.749673837555539e-05,0.015813467250356837,0.8709868867558795,1.946527778
550.0,0.9975822054434942,8.440183771441596e-05,0.01841527399538641,1.016081881276595,2.269305556
600.0,1.1387162109154965,0.00013925856476978824,0.020981052673038344,1.1598365221533047,2.500277778
650.0,1.2937320216060468,0.00021659941141708033,0.023799974282385842,1.3177485952998502,2.822777778
700.0,1.446789940530325,0.00032113888024047974,0.026571499477976827,1.4736825788885428,3.053333333
750.0,1.6131379889018984,0.00045768896110077485,0.029585711999213005,1.6431813898622125,3.374166667
800.0,1.7769736656561015,0.0006310913914997249,0.03254283241539199,1.8101475894629935,3.603888889
850.0,1.9535775545532805,0.000846164671751462,0.03573359599998174,1.9901573152250136,3.924027778
900.0,2.1271763492169913,0.0011076635042265943,0.03885879460238154,2.1671428073235997,4.152222222
950.0,2.313077244730428,0.0014202484148603692,0.042209672969666226,2.356707166114955,4.47125
1000.0,2.495531468307597,0.0017884635692219579,0.04548748317356867,2.5428074150503877,4.699027778
1050.0,2.6898690113914063,0.002216721097900794,0.04898388979457993,2.741069622283888,5.0175
1100.0,2.8803624004753465,0.0027092905405252813,0.05240053082276239,2.9354722218386353,5.245
1150.0,3.082361606475268,0.003270292280477948,0.056029427719594335,3.141661326475341,5.562638889
1200.0,3.280157952042417,0.003903694065962818,0.05957255009512013,3.3436341962035003,5.78875
1250.0,3.4891191299721114,0.004613309898091269,0.06332222876272328,3.5570546686329263,6.104027778
1300.0,3.693553200356284,0.00540280071707732,0.06698072283652595,3.7659367239098884,6.327777778
1350.0,3.9088436849049923,0.006275676438537793,0.07084063477761915,3.9859599961211503,6.643888889
1400.0,4.1193136295593105,0.007235298988344108,0.07460447915518108,4.2011534077028365,6.868611111
1450.0,4.340360756187004,0.008284886061015514,0.0785650991014845,4.427210741349506,7.190138889
1500.0,4.5563215761473765,0.009427515387186522,0.08242523628046206,4.648174327815027,7.416666667
1550.0,4.7826065877221104,0.010666129343446856,0.08647794838905895,4.879750665454617,7.735277778
1600.0,5.003564431095387,0.012003539775483279,0.09042618004170382,5.105994150912576,7.992222222
