Time [s],Mold Average Temperature [deg C],Mold Maximum Temperature [deg C],Cycle Temperature [deg C]
6600.0,111.77065495469341,115.40487379395277,100.0
6650.0,109.38825695874962,113.09758593939709,97.5
6700.0,106.97881155335914,110.74798324294146,95.0
6750.0,104.54692597546362,108.36323701195295,92.5
6800.0,102.09641219736191,105.94930632618053,90.0
6850.0,99.63042210396083,103.51113333429701,87.5
6900.0,97.15155935966874,101.05280976071805,85.0
6950.0,94.66197214598712,98.57771763443107,82.5
7000.0,92.1634301071196,96.08864754023467,80.0
7050.0,89.65738820742844,93.58789758062487,77.5
7100.0,87.14503971351762,91.07735594780348,75.0
7150.0,84.62736012365943,88.55856965624272,72.5
7200.0,82.10514355183277,86.03280163482549,70.0
7250.0,79.57903281521477,83.50107805052298,67.5
7300.0,77.04954426026046,80.96422744326652,65.0
7350.0,74.51708818448198,78.42291299618505,62.5
7400.0,71.98198556177714,75.8776590447678,60.0
7450.0,69.44448165312657,73.32887273900491,57.5
7500.0,66.90475697709617,70.77686160973637,55.0
7550.0,64.3629360218877,68.2218476497215,52.5
7600.0,61.81909399907684,65.6639783967497,50.0
7650.0,59.2732618651906,63.10333539586046,47.5
7700.0,56.72542976724954,60.53994031556882,45.0
7750.0,54.17554899813604,57.97375889344262,42.5
7800.0,51.623532471814606,55.404702782700866,40.0
7850.0,49.06925363964916,52.83262925464549,37.5
7900.0,46.51254365636234,50.2573385685483,35.0
7950.0,43.953186450250996,47.678568630728485,32.5
8000.0,41.390911128429224,45.09598629470835,30.0
8050.0,38.825380804449026,42.509174247622596,27.5
8100.0,36.256176382795,39.91761178263413,25.0
8150.0,33.682772902142474,37.320646682074354,22.5
