0.000000000000000000e+00,9.035015172758516233e-02,1.310416498931871176e+00,2.468719367836173628e+00,3.602211376462068682e+00,4.719989683129672819e+00,5.826354308375724322e+00
4.000000000000000000e+00,9.035015172758516233e-02,1.310416498931871176e+00,2.468719367836173628e+00,3.602211376462068682e+00,4.719989683129672819e+00,5.826354308375724322e+00
9.000000000000000000e+00,9.038779649234576774e-02,1.310513798796990592e+00,2.468838019727486177e+00,3.602344342903220031e+00,4.720133650367156264e+00,5.826507303353700706e+00
1.400000000000000000e+01,9.043485244829652103e-02,1.310635423628389917e+00,2.468986334591626974e+00,3.602510550954658886e+00,4.720313609414011680e+00,5.826698547076170520e+00
1.900000000000000000e+01,9.048190840424727432e-02,1.310757048459789242e+00,2.469134649455767327e+00,3.602676759006098184e+00,4.720493568460865319e+00,5.826889790798639446e+00
2.400000000000000000e+01,1.808791160877838700e-01,2.621295172223059300e+00,4.938002332156070651e+00,7.205054343519605276e+00,9.440663210637371350e+00,1.165343534289686289e+01
2.900000000000000000e+01,1.809497000217100138e-01,2.621477609470157955e+00,4.938224804452281624e+00,7.205303655596764223e+00,9.440933149207651809e+00,1.165372220848056983e+01
3.400000000000000000e+01,1.810438119336114926e-01,2.621720859132956605e+00,4.938521434180563219e+00,7.205636071699641931e+00,9.441293067301360864e+00,1.165410469592550768e+01
3.900000000000000000e+01,2.714880755730982309e-01,3.932380607727639532e+00,7.407537431745006451e+00,1.080817986426457011e+01,1.416164266852474185e+01,1.748084149174617252e+01
4.400000000000000000e+01,2.716057154629750725e-01,3.932684669806137734e+00,7.407908218905358666e+00,1.080859538439317014e+01,1.416209256614187773e+01,1.748131960105234839e+01
4.900000000000000000e+01,2.717468833308273601e-01,3.933049544300335487e+00,7.408353163497780614e+00,1.080909400854748625e+01,1.416263244328244397e+01,1.748189333221975517e+01
5.400000000000000000e+01,2.718880511986795923e-01,3.933414418794533240e+00,7.408798108090203449e+00,1.080959263270180415e+01,1.416317232042300667e+01,1.748246706338716905e+01
5.900000000000000000e+01,2.720292190665318244e-01,3.933779293288731438e+00,7.409243052682625397e+00,1.081009125685612204e+01,1.416371219756357114e+01,1.748304079455457583e+01
6.400000000000000000e+01,2.721703869343840565e-01,3.934144167782929191e+00,7.409687997275046456e+00,1.081058988101043816e+01,1.416425207470413561e+01,1.748361452572198615e+01
6.900000000000000000e+01,3.626617065298225473e-01,5.244925541208997011e+00,9.878852309703617607e+00,1.441329988162684295e+01,1.888478163497437379e+01,2.331054256526517676e+01
7.400000000000000000e+01,3.628264023756501699e-01,5.245351228118894760e+00,9.879371411728111951e+00,1.441388160980687871e+01,1.888541149163836508e+01,2.331121191829382155e+01
7.900000000000000000e+01,3.630146261994531831e-01,5.245837727444492060e+00,9.879964671184675140e+00,1.441454644201263591e+01,1.888613132782578319e+01,2.331197689318370436e+01
8.400000000000000000e+01,3.632028500232561963e-01,5.246324226770089361e+00,9.880557930641236553e+00,1.441521127421839132e+01,1.888685116401320130e+01,2.331274186807358362e+01
8.900000000000000000e+01,4.537412255746443579e-01,6.557227225027564721e+00,1.234987055793397559e+01,1.801808748288621942e+01,2.360756068333026647e+01,2.913986115133918275e+01
9.400000000000000000e+01,4.539529773764227616e-01,6.557774536768860685e+00,1.235053797482260762e+01,1.801883541911769271e+01,2.360837049904111495e+01,2.914072174809030003e+01
9.900000000000000000e+01,4.541882571561765003e-01,6.558382660925857088e+00,1.235127954914331205e+01,1.801966645937488920e+01,2.360927029427538670e+01,2.914167796670264821e+01
